;layers;neurons;optimizer;learning_rate;epochs;batch_size;accuracy;precision;recall;f1_score
296;2;32;adam;0.001;50;16;0.16;0.0733;0.16;0.1
297;2;32;adam;0.001;100;16;0.36;0.36;0.36;0.3467
298;2;32;adam;0.001;150;16;0.36;0.299;0.36;0.3067
299;2;32;adam;0.001;200;16;0.36;0.3343;0.36;0.3333
300;2;32;adam;0.005;50;16;0.24;0.1337;0.24;0.1667
301;2;32;adam;0.005;100;16;0.4;0.44;0.4;0.4051
302;2;32;adam;0.005;150;16;0.36;0.46;0.36;0.39
303;2;32;adam;0.005;200;16;0.36;0.44;0.36;0.3767
304;2;32;adam;0.0001;50;16;0.2;0.04;0.2;0.0667
305;2;32;adam;0.0001;100;16;0.2;0.04;0.2;0.0667
306;2;32;adam;0.0001;150;16;0.12;0.0316;0.12;0.05
307;2;32;adam;0.0001;200;16;0.2;0.0476;0.2;0.0769
308;2;32;adam;0.0005;50;16;0.16;0.0433;0.16;0.0682
309;2;32;adam;0.0005;100;16;0.16;0.0883;0.16;0.1123
310;2;32;adam;0.0005;150;16;0.4;0.36;0.4;0.3624
311;2;32;adam;0.0005;200;16;0.36;0.34;0.36;0.3358
312;2;32;rmsprop;0.01;50;16;0.44;0.52;0.44;0.4467
313;2;32;rmsprop;0.01;100;16;0.44;0.58;0.44;0.4633
314;2;32;rmsprop;0.01;150;16;0.4;0.56;0.4;0.4367
315;2;32;rmsprop;0.01;200;16;0.28;0.36;0.28;0.31
316;2;32;rmsprop;0.05;50;16;0.16;0.0444;0.16;0.0696
317;2;32;rmsprop;0.05;100;16;0.2;0.0455;0.2;0.0741
318;2;32;rmsprop;0.05;150;16;0.28;0.4333;0.28;0.31
319;2;32;rmsprop;0.05;200;16;0.24;0.32;0.24;0.2567
320;2;32;rmsprop;0.001;50;16;0.28;0.21;0.28;0.2306
321;2;32;rmsprop;0.001;100;16;0.36;0.28;0.36;0.2964
322;2;32;rmsprop;0.001;150;16;0.4;0.3867;0.4;0.359
323;2;32;rmsprop;0.001;200;16;0.28;0.2257;0.28;0.2333
324;2;32;rmsprop;0.005;50;16;0.36;0.3;0.36;0.3011
325;2;32;rmsprop;0.005;100;16;0.32;0.38;0.32;0.3158
326;2;32;rmsprop;0.005;150;16;0.32;0.42;0.32;0.34
327;2;32;rmsprop;0.005;200;16;0.4;0.4;0.4;0.3867
328;2;32;rmsprop;0.0001;50;16;0.2;0.04;0.2;0.0667
329;2;32;rmsprop;0.0001;100;16;0.2;0.04;0.2;0.0667
330;2;32;rmsprop;0.0001;150;16;0.2;0.04;0.2;0.0667
331;2;32;rmsprop;0.0001;200;16;0.2;0.04;0.2;0.0667
332;2;32;rmsprop;0.0005;50;16;0.2;0.0455;0.2;0.0741
333;2;32;rmsprop;0.0005;100;16;0.16;0.05;0.16;0.0762
334;2;32;rmsprop;0.0005;150;16;0.36;0.36;0.36;0.3491
335;2;32;rmsprop;0.0005;200;16;0.24;0.2133;0.24;0.2091
336;2;32;sgd;0.01;50;16;0.2;0.04;0.2;0.0667
337;2;32;sgd;0.01;100;16;0.2;0.04;0.2;0.0667
338;2;32;sgd;0.01;150;16;0.2;0.04;0.2;0.0667
339;2;32;sgd;0.01;200;16;0.2;0.04;0.2;0.0667
340;2;32;sgd;0.05;50;16;0.2;0.04;0.2;0.0667
341;2;32;sgd;0.05;100;16;0.2;0.04;0.2;0.0667
342;2;32;sgd;0.05;150;16;0.2;0.04;0.2;0.0667
343;2;32;sgd;0.05;200;16;0.2;0.0455;0.2;0.0741
344;2;32;sgd;0.001;50;16;0.2;0.04;0.2;0.0667
345;2;32;sgd;0.001;100;16;0.2;0.04;0.2;0.0667
346;2;32;sgd;0.001;150;16;0.2;0.04;0.2;0.0667
347;2;32;sgd;0.001;200;16;0.2;0.04;0.2;0.0667
348;2;32;sgd;0.005;50;16;0.2;0.04;0.2;0.0667
349;2;32;sgd;0.005;100;16;0.2;0.04;0.2;0.0667
350;2;32;sgd;0.005;150;16;0.2;0.04;0.2;0.0667
351;2;32;sgd;0.005;200;16;0.2;0.04;0.2;0.0667
352;2;32;sgd;0.0001;50;16;0.0;0.0;0.0;0.0
353;2;32;sgd;0.0001;100;16;0.2;0.04;0.2;0.0667
354;2;32;sgd;0.0001;150;16;0.2;0.04;0.2;0.0667
355;2;32;sgd;0.0001;200;16;0.2;0.04;0.2;0.0667
